yr,team,spend,inc,net
20-21,Chelsea,£222.48m,£51.66m,£-170.82m
20-21,Manchester City,£155.07m,£68.99m,£-86.09m
20-21,Tottenham,£99.45m,£11.97m,£-87.48m
20-21,Leeds United,£96.12m,,£-96.12m
20-21,Aston Villa,£91.22m,£2.49m,£-88.72m
20-21,Wolves,£79.02m,£71.28m,£-7.74m
20-21,Arsenal,£77.40m,£17.24m,£-60.17m
20-21,Manchester Utd,£75.42m,£17.55m,£-57.87m
20-21,Liverpool,£74.39m,£15.48m,£-58.91m
20-21,Everton,£66.03m,£3.98m,£-62.05m
20-21,Sheffield Utd,£56.43m,,£-56.43m
20-21,Leicester City,£52.65m,£48.40m,£-4.25m
20-21,West Ham,£49.23m,£40.87m,£-8.36m
20-21,West Brom,£37.93m,£7.29m,£-30.64m
20-21,Newcastle Utd,£35.10m,£248Th,£-34.85m
20-21,Southampton,£33.57m,£23.67m,£-9.90m
20-21,Fulham,£33.53m,,£-33.53m
20-21,Brighton,£25.65m,£18.54m,£-7.11m
20-21,Crystal Palace,£20.16m,£18.00m,£-2.16m
20-21,Burnley,£990Th.,£2.07m,£1.08m
19-20,Manchester Utd,£211.32m,£73.06m,£-138.26m
19-20,Arsenal,£144.72m,£48.29m,£-96.44m
19-20,Manchester City,£143.57m,£63.90m,£-79.67m
19-20,Aston Villa,£143.55m,£2.70m,£-140.85m
19-20,Tottenham,£133.65m,£58.05m,£-75.60m
19-20,Everton,£108.90m,£79.02m,£-29.88m
19-20,West Ham,£107.82m,£49.71m,£-58.11m
19-20,Wolves,£105.03m,£21.69m,£-83.34m
19-20,Leicester City,£93.87m,£79.65m,£-14.22m
19-20,Newcastle Utd,£65.61m,£32.08m,£-33.53m
19-20,Brighton,£65.56m,£7.65m,£-57.91m
19-20,Sheffield Utd,£63.45m,£315Th.,£-63.14m
19-20,Southampton,£55.35m,£24.57m,£-30.78m
19-20,Bournemouth,£49.42m,£31.16m,£-18.26m
19-20,Watford,£43.65m,£22.86m,£-20.79m
19-20,Chelsea,£40.50m,£141.54m,£101.04m
19-20,Burnley,£21.47m,£12.20m,£-9.27m
19-20,Liverpool,£9.36m,£40.05m,£30.69m
19-20,Norwich City,£7.93m,£1.98m,£-5.95m
19-20,Crystal Palace,£6.84m,£49.84m,£43.00m
18-19,Chelsea,£187.92m,£74.93m,£-113.00m
18-19,Liverpool,£163.98m,£37.19m,£-126.79m
18-19,Fulham,£104.85m,£4.82m,£-100.04m
18-19,Leicester City,£103.14m,£86.22m,£-16.92m
18-19,Wolves,£101.48m,£20.97m,£-80.51m
18-19,West Ham,£90.81m,£12.39m,£-78.42m
18-19,Everton,£89.82m,£25.79m,£-64.04m
18-19,Bournemouth,£80.19m,£18.18m,£-62.01m
18-19,Brighton,£78.41m,£12.26m,£-66.15m
18-19,Manchester Utd,£74.43m,£27.50m,£-46.94m
18-19,Arsenal,£72.14m,£8.19m,£-63.95m
18-19,Manchester City,£70.73m,£51.84m,£-18.89m
18-19,Southampton,£56.03m,£23.49m,£-32.54m
18-19,Newcastle Utd,£53.78m,£45.94m,£-7.83m
18-19,Cardiff City,£46.08m,,£-46.08m
18-19,Huddersfield,£45.63m,£11.10m,£-34.53m
18-19,Burnley,£29.70m,£7.20m,£-22.50m
18-19,Watford,£27.09m,£46.66m,£19.57m
18-19,Crystal Palace,£10.67m,£315Th.,£-10.35m
18-19,Tottenham,,£4.82m,£4.82m
17-18,Manchester City,£285.75m,£82.22m,£-203.54m
17-18,Chelsea,£234.45m,£175.14m,£-59.31m
17-18,Everton,£182.88m,£113.74m,£-69.14m
17-18,Manchester Utd,£178.56m,£40.95m,£-137.61m
17-18,Liverpool,£156.49m,£166.05m,£9.56m
17-18,Arsenal,£137.57m,£145.80m,£8.24m
17-18,Tottenham,£111.15m,£93.42m,£-17.73m
17-18,Leicester City,£75.46m,£45.09m,£-30.37m
17-18,Watford,£66.06m,£16.87m,£-49.19m
17-18,Swansea City,£66.05m,£72.99m,£6.94m
17-18,Brighton,£59.85m,£360Th.,£-59.49m
17-18,Southampton,£55.13m,£88.52m,£33.39m
17-18,Stoke City,£51.93m,£31.63m,£-20.30m
17-18,West Ham,£51.12m,£62.12m,£11.00m
17-18,Huddersfield,£51.08m,£5.81m,£-45.27m
17-18,West Brom,£48.15m,£1.85m,£-46.31m
17-18,Crystal Palace,£44.06m,£2.70m,£-41.36m
17-18,Newcastle Utd,£41.85m,£19.10m,£-22.75m
17-18,Burnley,£32.17m,£45.00m,£12.83m
17-18,Bournemouth,£30.87m,,£-30.87m
16-17,Manchester City,£193.50m,£31.82m,£-161.69m
16-17,Manchester Utd,£166.50m,£42.53m,£-123.98m
16-17,Chelsea,£119.52m,£98.01m,£-21.51m
16-17,Arsenal,£101.74m,£9.32m,£-92.42m
16-17,Crystal Palace,£91.08m,£45.18m,£-45.90m
16-17,Leicester City,£82.89m,£59.45m,£-23.45m
16-17,Everton,£77.40m,£54.72m,£-22.68m
16-17,Tottenham,£75.15m,£47.07m,£-28.08m
16-17,West Ham,£75.15m,£36.90m,£-38.25m
16-17,Liverpool,£71.91m,£76.84m,£4.93m
16-17,Watford,£63.41m,£52.29m,£-11.12m
16-17,Southampton,£62.01m,£76.55m,£14.54m
16-17,Swansea City,£52.29m,£44.37m,£-7.92m
16-17,Middlesbrough,£43.16m,£12.15m,£-31.01m
16-17,Burnley,£41.04m,£12.15m,£-31.01m
16-17,Sunderland,£37.71m,£21.39m,£-16.32m
16-17,Bournemouth,£36.62m,£21.32m,£-15.30m
16-17,Hull City,£36.00m,£26.01m,£-9.99m
16-17,Stoke City,£34.90m,£3.42m,£-31.48m
16-17,West Brom,£34.11m,£24.28m,£-9.83m
15-16,Manchester City,£187.62m,£60.69m,£-126.93m
15-16,Manchester Utd,£140.40m,£90.60m,£-49.80m
15-16,Liverpool,£113.85m,£81.50m,£-32.36m
15-16,Newcastle Utd,£97.12m,£5.07m,£-92.05m
15-16,Chelsea,£86.85m,£78.74m,£-8.11m
15-16,Watford,£74.52m,£8.78m,£-65.75m
15-16,Tottenham,£63.90m,£78.53m,£14.63m
15-16,Aston Villa,£59.90m,£58.23m,£-1.67m
15-16,Sunderland,£59.45m,£9.90m,£-49.55m
15-16,Southampton,£54.09m,£47.43m,£-6.66m
15-16,Bournemouth,£49.60m,£585Th.,£-49.01m
15-16,Stoke City,£48.29m,£20.88m,£-27.41m
15-16,West Ham,£47.43m,£16.66m,£-30.77m
15-16,Norwich City,£45.45m,£19.34m,£-26.11m
15-16,Leicester City,£44.91m,£8.51m,£-36.41m
15-16,Everton,£44.01m,£9.90m,£-34.11m
15-16,West Brom,£38.61m,£11.63m,£-26.98m
15-16,Crystal Palace,£25.92m,£4.86m,£-21.06m
15-16,Arsenal,£23.85m,£2.25m,£-21.60m
15-16,Swansea City,£19.63m,£15.12m,£-4.50m
14-15,Manchester Utd,£175.82m,£42.03m,£-133.79m
14-15,Liverpool,£136.29m,£89.34m,£-46.94m
14-15,Chelsea,£123.93m,£128.53m,£4.60m
14-15,Arsenal,£107.08m,£25.02m,£-82.06m
14-15,Manchester City,£92.52m,£27.27m,£-65.25m
14-15,Southampton,£86.40m,£111.45m,£25.05m
14-15,Tottenham,£43.63m,£39.74m,£-3.90m
14-15,Hull City,£43.40m,£16.83m,£-26.57m
14-15,Newcastle Utd,£40.52m,£21.48m,£-19.04m
14-15,QPR,£39.18m,£23.44m,£-15.75m
14-15,Swansea City,£37.38m,£55.71m,£18.33m
14-15,Everton,£36.14m,£1.71m,£-34.43m
14-15,West Ham,£31.64m,£3.96m,£-27.68m
14-15,Crystal Palace,£28.10m,£2.58m,£-25.52m
14-15,West Brom,£22.39m,£2.07m,£-20.32m
14-15,Leicester City,£20.57m,,£-20.57m
14-15,Sunderland,£20.26m,£6.53m,£-13.74m
14-15,Aston Villa,£12.11m,£1.18m,£-10.92m
14-15,Burnley,£11.36m,,£-11.36m
14-15,Stoke City,£1.62m,£3.42m,£1.80m
13-14,Chelsea,£117.32m,£70.14m,£-47.18m
13-14,Tottenham,£110.30m,£124.56m,£14.26m
13-14,Manchester City,£103.95m,£10.17m,£-93.78m
13-14,Manchester Utd,£69.42m,£1.62m,£-67.80m
13-14,Liverpool,£52.29m,£29.25m,£-23.04m
13-14,Arsenal,£44.33m,£10.94m,£-33.39m
13-14,Cardiff City,£41.23m,£3.37m,£-37.87m
13-14,Southampton,£35.64m,£3.78m,£-31.86m
13-14,Sunderland,£30.52m,£20.14m,£-10.38m
13-14,Crystal Palace,£29.70m,,£-29.70m
13-14,Everton,£28.62m,£41.49m,£12.87m
13-14,Hull City,£27.99m,£792Th.,£-27.20m
13-14,Norwich City,£27.05m,£4.35m,£-22.69m
13-14,Fulham,£26.37m,£3.74m,£-22.64m
13-14,Swansea City,£23.95m,,£-23.95m
13-14,West Ham,£21.60m,£477Th.,£-21.12m
13-14,Aston Villa,£17.86m,£7.29m,£-10.57m
13-14,West Brom,£14.13m,£10.26m,£-3.87m
13-14,Stoke City,£6.30m,,£-6.30m
13-14,Newcastle Utd,£3.42m,£23.28m,£19.86m
12-13,Chelsea,£98.73m,£22.91m,£-75.83m
12-13,Manchester Utd,£68.81m,£8.69m,£-60.12m
12-13,Tottenham,£65.93m,£65.50m,£-423Th.
12-13,Liverpool,£63.54m,£9.41m,£-54.14m
12-13,Manchester City,£55.76m,£39.87m,£-15.89m
12-13,Arsenal,£50.40m,£59.27m,£8.87m
12-13,QPR,£45.32m,£4.06m,£-41.26m
12-13,Southampton,£37.35m,,£-37.35m
12-13,Sunderland,£34.47m,£13.34m,£-21.13m
12-13,Newcastle Utd,£28.77m,£13.32m,£-15.45m
12-13,Aston Villa,£25.05m,£2.88m,£-22.17m
12-13,West Ham,£21.51m,£4.55m,£-16.96m
12-13,Stoke City,£21.31m,£576Th.,£-20.74m
12-13,Everton,£19.49m,£16.88m,£-2.61m
12-13,Swansea City,£18.42m,£29.34m,£10.92m
12-13,Norwich City,£9.97m,£342Th.,£-9.63m
12-13,Reading,£9.74m,£810Th.,£-8.93m
12-13,Wigan Athletic,£9.48m,£11.93m,£2.44m
12-13,Fulham,£9.00m,£28.28m,£19.28m
12-13,West Brom,£4.50m,£3.35m,£-1.15m
11-12,Chelsea,£86.81m,£28.40m,£-58.40m
11-12,Manchester City,£81.95m,£28.08m,£-53.87m
11-12,Arsenal,£58.93m,£70.46m,£11.53m
11-12,Liverpool,£58.79m,£20.61m,£-38.18m
11-12,Manchester Utd,£56.07m,£12.42m,£-43.65m
11-12,Sunderland,£25.13m,£23.69m,£-1.44m
11-12,Newcastle Utd,£24.30m,£14.44m,£-9.86m
11-12,QPR,£23.60m,£2.52m,£-21.08m
11-12,Stoke City,£22.32m,£1.79m,£-20.53m
11-12,Blackburn,£18.50m,£36.27m,£17.78m
11-12,Aston Villa,£18.30m,£39.37m,£21.07m
11-12,Fulham,£16.31m,£6.90m,£-9.41m
11-12,Bolton,£14.04m,£14.70m,£657Th.
11-12,Norwich City,£13.73m,£450Th.,£-13.28m
11-12,Swansea City,£11.57m,£410Th.,£-11.16m
11-12,Wigan Athletic,£11.14m,£10.16m,£-981Th.
11-12,Wolves,£10.85m,£2.34m,£-8.51m
11-12,West Brom,£8.22m,£10.01m,£1.78m
11-12,Tottenham,£8.10m,£38.93m,£30.83m
11-12,Everton,£6.48m,£24.12m,£17.64m
10-11,Manchester City,£165.24m,£36.14m,£-129.11m
10-11,Chelsea,£109.35m,£14.85m,£-94.50m
10-11,Liverpool,£87.95m,£91.35m,£3.40m
10-11,Aston Villa,£33.66m,£25.56m,£-8.10m
10-11,Manchester Utd,£26.37m,£15.58m,£-10.79m
10-11,Sunderland,£26.19m,£37.60m,£11.41m
10-11,Tottenham,£23.94m,£2.64m,£-21.30m
10-11,Birmingham City,£23.04m,£158Th.,£-22.88m
10-11,Arsenal,£20.70m,£7.29m,£-13.41m
10-11,Stoke City,£18.99m,£6.10m,£-12.89m
10-11,Wolves,£18.19m,£5.79m,£-12.40m
10-11,West Ham,£16.22m,£4.46m,£-11.77m
10-11,Newcastle Utd,£12.58m,£37.58m,£24.99m
10-11,West Brom,£12.45m,£765Th.,£-11.68m
10-11,Wigan Athletic,£10.26m,£3.06m,£-7.20m
10-11,Fulham,£9.95m,£11.53m,£1.58m
10-11,Blackpool,£5.15m,£630Th.,£-4.52m
10-11,Bolton,£4.86m,£1.26m,£-3.60m
10-11,Blackburn,£4.55m,£248Th.,£-4.30m
10-11,Everton,£1.53m,£5.94m,£4.41m